"year"	"month"	"site"	"tmax"	"tmin"	"date"
1975	10	"Donana"	0.010568356374807	-1.78263440860215	1975-10-01
1975	11	"Donana"	-0.353690476190476	-3.32631746031746	1975-11-01
1975	12	"Donana"	-0.840122887864822	-6.43165130568356	1975-12-01
1976	1	"Donana"	-0.368133640552995	-4.44099846390169	1976-01-01
1976	2	"Donana"	-0.924717775905645	1.53503994422334	1976-02-01
1976	3	"Donana"	-1.67052995391705	-0.0552227342549926	1976-03-01
1976	4	"Donana"	-3.23049206349206	-0.220301587301588	1976-04-01
1976	5	"Donana"	-1.6765821812596	-0.0659831029185861	1976-05-01
1976	6	"Donana"	-0.162780487804879	-0.950707317073172	1976-06-01
1976	7	"Donana"	-2.49627065302911	0.938269079464987	1976-07-01
1976	8	"Donana"	-1.46211644374508	-2.62729346970889	1976-08-01
1976	9	"Donana"	-4.30088617886179	-3.99316260162602	1976-09-01
1976	10	"Donana"	-2.82814132104455	-3.91166666666667	1976-10-01
1976	11	"Donana"	-2.65369047619048	-5.95965079365079	1976-11-01
1976	12	"Donana"	-0.517542242703532	-0.786490015360983	1976-12-01
1977	1	"Donana"	-1.33587557603687	1.74609831029186	1977-01-01
1977	2	"Donana"	-1.49614634733422	1.27838969791792	1977-02-01
1977	3	"Donana"	-0.702788018433182	-0.79715821812596	1977-03-01
1977	4	"Donana"	0.65284126984127	-0.840301587301588	1977-04-01
1977	5	"Donana"	-2.4507757296467	-1.90469278033794	1977-05-01
1977	6	"Donana"	-5.57944715447155	-3.21737398373984	1977-06-01
1977	7	"Donana"	-5.25433516915814	-2.1843115656963	1977-07-01
1977	8	"Donana"	-3.97824547600315	-2.38213217938631	1977-08-01
1977	9	"Donana"	-0.117552845528457	-0.00649593495934819	1977-09-01
1977	10	"Donana"	-1.7152380952381	0.114139784946236	1977-10-01
1977	11	"Donana"	-0.720357142857143	-0.699650793650793	1977-11-01
1977	12	"Donana"	0.805038402457758	3.33609062980031	1977-12-01
1978	1	"Donana"	-1.14232718894009	0.681582181259601	1978-01-01
1978	2	"Donana"	-0.281860633048502	0.906961126489349	1978-02-01
1978	3	"Donana"	-0.993110599078343	-1.53909370199693	1978-03-01
1978	4	"Donana"	-3.29715873015873	-1.47363492063492	1978-04-01
1978	5	"Donana"	-4.16045314900154	-2.40146697388633	1978-05-01
1978	6	"Donana"	-6.36278048780488	-2.79737398373984	1978-06-01
1978	7	"Donana"	-0.0123996852871752	-0.68108575924469	1978-07-01
1978	8	"Donana"	-1.26856805664831	-0.917616050354051	1978-08-01
1978	9	"Donana"	1.88244715447154	0.953504065040652	1978-09-01
1978	10	"Donana"	0.23637480798771	-0.911666666666667	1978-10-01
1978	11	"Donana"	0.396309523809524	-0.099650793650793	1978-11-01
1978	12	"Donana"	0.434070660522274	2.66512288786482	1978-12-01
1979	1	"Donana"	-0.190714285714285	2.78480798771121	1979-01-01
1979	2	"Donana"	-1.46043206161993	1.08553255506078	1979-02-01
1979	3	"Donana"	-3.42859447004608	-1.51973886328725	1979-03-01
1979	4	"Donana"	-1.44715873015873	-1.49363492063492	1979-04-01
1979	5	"Donana"	-0.934646697388632	-1.28533794162826	1979-05-01
1979	6	"Donana"	-2.04611382113821	-0.630707317073172	1979-06-01
1979	7	"Donana"	-2.0446577498033	0.267301337529504	1979-07-01
1979	8	"Donana"	-0.510503540519276	0.41786782061369	1979-08-01
1979	9	"Donana"	-0.817552845528457	-0.0398292682926815	1979-09-01
1979	10	"Donana"	-4.07007680491552	-0.660053763440861	1979-10-01
1979	11	"Donana"	0.729642857142857	-1.11298412698413	1979-11-01
1979	12	"Donana"	0.369554531490016	-1.41229646697389	1979-12-01
1980	1	"Donana"	-0.110069124423963	0.207388632872504	1980-01-01
1980	2	"Donana"	0.230454637887459	0.86607442698196	1980-02-01
1980	3	"Donana"	-1.81569124423963	-0.558448540706606	1980-03-01
1980	4	"Donana"	0.0695079365079368	-0.540301587301588	1980-04-01
1980	5	"Donana"	-2.69271121351766	-1.0950153609831	1980-05-01
1980	6	"Donana"	-0.796113821138212	-0.710707317073172	1980-06-01
1980	7	"Donana"	-0.964012588512982	-3.30044059795437	1980-07-01
1980	8	"Donana"	-0.429858379228953	0.450125885129819	1980-08-01
1980	9	"Donana"	1.38244715447154	1.85350406504065	1980-09-01
1980	10	"Donana"	-0.279754224270354	-0.808440860215054	1980-10-01
1980	11	"Donana"	-0.93702380952381	-0.00631746031745968	1980-11-01
1980	12	"Donana"	0.0792319508448549	-3.0897158218126	1980-12-01
1981	1	"Donana"	0.97057603686636	-2.76357910906298	1981-01-01
1981	2	"Donana"	-0.192574918762788	-2.09303887351065	1981-02-01
1981	3	"Donana"	0.119792626728109	0.699615975422427	1981-03-01
1981	4	"Donana"	-3.5138253968254	-0.793634920634921	1981-04-01
1981	5	"Donana"	-2.28948540706605	-1.70469278033794	1981-05-01
1981	6	"Donana"	-0.0961138211382126	0.909292682926827	1981-06-01
1981	7	"Donana"	1.82630999213218	0.0673013375295032	1981-07-01
1981	8	"Donana"	-0.0879228953579851	-0.0530999213217932	1981-08-01
1981	9	"Donana"	1.38578048780488	-0.413162601626015	1981-09-01
1981	10	"Donana"	2.30734254992319	0.70768817204301	1981-10-01
1981	11	"Donana"	4.45964285714286	1.64701587301587	1981-11-01
1981	12	"Donana"	0.734070660522274	1.00705837173579	1981-12-01
1982	1	"Donana"	0.857672811059908	1.82996927803379	1982-01-01
1982	2	"Donana"	-0.192574918762788	0.271246840775063	1982-02-01
1982	3	"Donana"	0.958502304147464	-0.268125960061444	1982-03-01
